# NEPTS  2002 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
 -1.1010E-01  1.3307E+01  1.3307E+01  1.1574E+02
 -1.0971E-01  1.2605E+01  1.2605E+01  1.0985E+02
 -1.0933E-01  1.1871E+01  1.1871E+01  1.0369E+02
 -1.0894E-01  1.1116E+01  1.1116E+01  9.7369E+01
 -1.0856E-01  1.0351E+01  1.0351E+01  9.0965E+01
 -1.0818E-01  9.6406E+00  9.6406E+00  8.5368E+01
 -1.0779E-01  9.0693E+00  9.0693E+00  8.1096E+01
 -1.0741E-01  8.6184E+00  8.6184E+00  7.7929E+01
 -1.0703E-01  8.2723E+00  8.2723E+00  7.5683E+01
 -1.0664E-01  8.0180E+00  8.0180E+00  7.4208E+01
 -1.0626E-01  7.8443E+00  7.8443E+00  7.3376E+01
 -1.0587E-01  7.7418E+00  7.7418E+00  7.3085E+01
 -1.0549E-01  7.7024E+00  7.7024E+00  7.3247E+01
 -1.0511E-01  7.7190E+00  7.7190E+00  7.3794E+01
 -1.0472E-01  7.7855E+00  7.7855E+00  7.4666E+01
 -1.0434E-01  7.8963E+00  7.8963E+00  7.5814E+01
 -1.0396E-01  8.0462E+00  8.0462E+00  7.7198E+01
 -1.0357E-01  8.2308E+00  8.2308E+00  7.8784E+01
 -1.0319E-01  8.4455E+00  8.4455E+00  8.0541E+01
 -1.0280E-01  8.6861E+00  8.6861E+00  8.2445E+01
 -1.0242E-01  8.9486E+00  8.9486E+00  8.4471E+01
 -1.0204E-01  9.2290E+00  9.2290E+00  8.6598E+01
 -1.0165E-01  9.5235E+00  9.5235E+00  8.8806E+01
 -1.0127E-01  9.8282E+00  9.8282E+00  9.1077E+01
 -1.0089E-01  1.0140E+01  1.0140E+01  9.3393E+01
 -1.0050E-01  1.0454E+01  1.0454E+01  9.5736E+01
 -1.0012E-01  1.0768E+01  1.0768E+01  9.8091E+01
 -9.9735E-02  1.1077E+01  1.1077E+01  1.0044E+02
 -9.9351E-02  1.1380E+01  1.1380E+01  1.0277E+02
 -9.8967E-02  1.1673E+01  1.1673E+01  1.0506E+02
 -9.8583E-02  1.1952E+01  1.1952E+01  1.0730E+02
 -9.8200E-02  1.2216E+01  1.2216E+01  1.0948E+02
 -9.7816E-02  1.2462E+01  1.2462E+01  1.1159E+02
 -9.7432E-02  1.2688E+01  1.2688E+01  1.1361E+02
 -9.7049E-02  1.2892E+01  1.2892E+01  1.1554E+02
 -9.6665E-02  1.3073E+01  1.3073E+01  1.1736E+02
 -9.6281E-02  1.3230E+01  1.3230E+01  1.1907E+02
 -9.5897E-02  1.3362E+01  1.3362E+01  1.2067E+02
 -9.5514E-02  1.3469E+01  1.3469E+01  1.2216E+02
 -9.5130E-02  1.3550E+01  1.3550E+01  1.2352E+02
 -9.4746E-02  1.3607E+01  1.3607E+01  1.2477E+02
 -9.4362E-02  1.3639E+01  1.3639E+01  1.2590E+02
 -9.3979E-02  1.3648E+01  1.3648E+01  1.2691E+02
 -9.3595E-02  1.3635E+01  1.3635E+01  1.2782E+02
 -9.3211E-02  1.3602E+01  1.3602E+01  1.2863E+02
 -9.2828E-02  1.3551E+01  1.3551E+01  1.2934E+02
 -9.2444E-02  1.3484E+01  1.3484E+01  1.2997E+02
 -9.2060E-02  1.3404E+01  1.3404E+01  1.3052E+02
 -9.1676E-02  1.3312E+01  1.3312E+01  1.3100E+02
 -9.1293E-02  1.3212E+01  1.3212E+01  1.3143E+02
 -9.0909E-02  1.3106E+01  1.3106E+01  1.3180E+02
 -9.0525E-02  1.2997E+01  1.2997E+01  1.3215E+02
 -9.0141E-02  1.2889E+01  1.2889E+01  1.3246E+02
