# NKPT  3001 NBND    16 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#    593   (1,1,0)/2
#    985   (0,1,0)/2
#   1501   (0,1,1)/2
#   1893   (1,1,1)/2
#   2485   (0,0,1)/2
#   3001   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.70855
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     1.17844
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.79581
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     2.26569
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     2.97425
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     3.59161
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -0.2,     3.59161,         0.3
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.23938E-01 -0.12477E+00 -0.75534E-01 -0.75211E-01 -0.73927E-01 -0.31672E-01 -0.31628E-01 -0.29846E-01 -0.17447E-01 -0.16719E-01  0.73595E-01  0.99434E-01  0.13902E+00  0.13943E+00  0.14122E+00  0.14146E+00  0.17965E+00
  0.25134E-01 -0.12478E+00 -0.75555E-01 -0.75200E-01 -0.73903E-01 -0.31708E-01 -0.31659E-01 -0.29847E-01 -0.17499E-01 -0.16698E-01  0.73651E-01  0.99441E-01  0.13895E+00  0.13940E+00  0.14120E+00  0.14146E+00  0.17971E+00
  0.26331E-01 -0.12479E+00 -0.75578E-01 -0.75188E-01 -0.73878E-01 -0.31745E-01 -0.31693E-01 -0.29847E-01 -0.17554E-01 -0.16677E-01  0.73710E-01  0.99449E-01  0.13888E+00  0.13937E+00  0.14117E+00  0.14145E+00  0.17979E+00
  0.27528E-01 -0.12479E+00 -0.75601E-01 -0.75175E-01 -0.73852E-01 -0.31784E-01 -0.31728E-01 -0.29846E-01 -0.17612E-01 -0.16655E-01  0.73772E-01  0.99456E-01  0.13881E+00  0.13933E+00  0.14115E+00  0.14145E+00  0.17986E+00
  0.28725E-01 -0.12480E+00 -0.75626E-01 -0.75162E-01 -0.73824E-01 -0.31824E-01 -0.31765E-01 -0.29846E-01 -0.17672E-01 -0.16632E-01  0.73836E-01  0.99465E-01  0.13873E+00  0.13930E+00  0.14112E+00  0.14145E+00  0.17994E+00
  0.29922E-01 -0.12481E+00 -0.75651E-01 -0.75148E-01 -0.73796E-01 -0.31866E-01 -0.31804E-01 -0.29845E-01 -0.17735E-01 -0.16608E-01  0.73902E-01  0.99473E-01  0.13865E+00  0.13926E+00  0.14110E+00  0.14145E+00  0.18002E+00
  0.31119E-01 -0.12482E+00 -0.75678E-01 -0.75134E-01 -0.73766E-01 -0.31911E-01 -0.31844E-01 -0.29844E-01 -0.17799E-01 -0.16584E-01  0.73971E-01  0.99482E-01  0.13857E+00  0.13922E+00  0.14107E+00  0.14144E+00  0.18011E+00
  0.32316E-01 -0.12482E+00 -0.75706E-01 -0.75119E-01 -0.73736E-01 -0.31956E-01 -0.31886E-01 -0.29842E-01 -0.17867E-01 -0.16558E-01  0.74043E-01  0.99491E-01  0.13848E+00  0.13918E+00  0.14104E+00  0.14144E+00  0.18019E+00
  0.33513E-01 -0.12483E+00 -0.75734E-01 -0.75104E-01 -0.73704E-01 -0.32004E-01 -0.31929E-01 -0.29840E-01 -0.17936E-01 -0.16532E-01  0.74117E-01  0.99501E-01  0.13840E+00  0.13914E+00  0.14101E+00  0.14143E+00  0.18028E+00
  0.34709E-01 -0.12484E+00 -0.75764E-01 -0.75089E-01 -0.73671E-01 -0.32053E-01 -0.31974E-01 -0.29838E-01 -0.18008E-01 -0.16505E-01  0.74194E-01  0.99511E-01  0.13831E+00  0.13910E+00  0.14098E+00  0.14143E+00  0.18038E+00
